UPI Remitter Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
Indian Bank,2024,6,423.92,94.06%,5.76%,0.19%,1.56,99.57%
Airtel Payments Bank,2024,6,414.12,88.87%,10.12%,1.01%,1.51,95.88%
India Post Payment Bank,2024,6,319.04,85.95%,12.05%,2.00%,1.44,71.65%
Federal Bank,2024,6,205.99,94.34%,5.61%,0.06%,1.25,93.66%
Central Bank of India,2024,6,202.35,86.99%,11.27%,1.74%,1.0,13.58%
Indian Overseas Bank,2024,6,197.11,92.98%,5.54%,1.48%,0.86,98.72%
UCO Bank,2024,6,184.42,93.38%,6.35%,0.27%,0.84,65.10%
IDBI Bank,2024,6,155.97,94.24%,5.25%,0.51%,0.78,78.29%
IndusInd Bank,2024,6,155.09,91.86%,7.68%,0.46%,0.73,77.15%
Bank of Maharashtra,2024,6,150.89,93.21%,5.77%,1.01%,0.71,64.69%
Fino Payments Bank,2024,6,140.81,92.49%,7.16%,0.36%,0.67,67.82%
YES Bank,2024,6,118.94,94.04%,5.79%,0.17%,0.56,98.82%
Karnataka Bank,2024,6,108.5,93.12%,6.42%,0.46%,0.5,35.88%
IDFC First Bank,2024,6,85.74,93.06%,6.88%,0.06%,0.44,68.83%
Karur Vysya Bank,2024,6,67.93,93.39%,6.14%,0.47%,0.4,77.80%
The Jammu And Kashmir Bank,2024,6,65.45,93.49%,4.86%,1.66%,0.38,54.07%
Bandhan Bank,2024,6,59.26,92.99%,6.11%,0.90%,0.31,4.32%
South Indian Bank,2024,6,54.24,94.99%,4.95%,0.06%,0.31,77.20%
Tri O Tech Solutions Private Limited,2024,6,50.77,100.00%,0.00%,0.00%,0.31,17.47%
AU Small Finance Bank,2024,6,46.74,93.96%,6.01%,0.02%,0.26,90.09%
Ujjivan Small Finance Bank,2024,6,44.18,94.17%,5.60%,0.23%,0.25,20.25%
CITI Bank,2024,6,40.87,93.05%,6.69%,0.26%,0.24,82.70%
Punjab and Sind Bank,2024,6,38.32,92.27%,7.46%,0.27%,0.22,89.99%
Tamilnad Mercantile Bank,2024,6,38.2,91.39%,7.44%,1.17%,0.21,97.95%
Equitas Bank,2024,6,32.46,92.00%,7.29%,0.71%,0.21,76.89%
HDFC Bank,2024,6,31.15,95.19%,4.66%,0.15%,0.21,23.54%
Andhra Pradesh Grameena Vikas Bank,2024,6,29.53,85.51%,12.21%,2.28%,0.2,99.07%
Kerala Gramin Bank,2024,6,29.43,93.72%,5.54%,0.74%,0.17,91%
Pragathi Krishna Gramin Bank,2024,6,26.98,91.24%,6.93%,1.83%,0.17,72.82%
DBS Bank,2024,6,26.61,94.23%,5.72%,0.05%,0.17,58.21%
Rajasthan Marudhara Gramin Bank,2024,6,25.44,86.22%,11.56%,2.22%,0.17,58%
Maharashtra Gramin Bank,2024,6,25.16,86.97%,11.42%,1.61%,0.17,44.72%
Standard Chartered,2024,6,24.97,96.93%,2.90%,0.17%,0.16,90.27%
Baroda U.P. Bank,2024,6,24.09,74.58%,10.00%,15.42%,0.15,89%
Saraswat Bank,2024,6,23.45,94.86%,4.71%,0.43%,0.15,96%
ESAF Small Finance Bank Ltd,2024,6,22.93,95.04%,4.76%,0.20%,0.14,67.14%
Fincare Small Finance Bank,2024,6,20.56,85.12%,14.38%,0.51%,0.13,9.53%
Sarva Haryana Gramin Bank,2024,6,19.34,89.85%,7.83%,2.32%,0.13,96.24%
Andhra Pragathi Grameena Bank,2024,6,18.35,80.76%,12.96%,6.28%,0.13,99.61%
Jio Payments Bank,2024,6,16.8,84.80%,11.61%,3.59%,0.11,47.65%
State Bank of India,2022,3,1482.61,91.98%,6.87%,1.15%,7.41,99.10%
HDFC Bank,2022,3,476.94,94.36%,5.38%,0.26%,2.91,85.80%
Bank of Baroda,2022,3,349.91,92.74%,6.90%,0.36%,1.97,99.54%
Union Bank of India,2022,3,325.96,90.71%,8.07%,1.22%,2.65,55.71%
Paytm Payments Bank,2022,3,313.91,95.35%,4.62%,0.03%,0.92,98.41%
ICICI Bank,2022,3,306.56,94.19%,5.26%,0.55%,1.53,83.46%
Axis Bank,2022,3,293.88,95.37%,4.49%,0.15%,1.31,82.78%
Punjab National Bank,2022,3,248.39,92.87%,6.11%,1.02%,2.17,81.95%
Canara Bank,2022,3,248.09,90.70%,7.73%,1.57%,2.88,61.67%
Kotak Mahindra Bank,2022,3,224.76,92.82%,5.65%,1.53%,2.9,89.21%
Bank of India,2022,3,195.89,94.45%,5.05%,0.50%,1.35,68.83%
Indian Bank,2022,3,131.47,89.49%,7.59%,2.92%,2.65,55.69%
Central Bank of India,2022,3,107.95,91.08%,6.67%,2.26%,2.12,66.80%
Federal Bank,2022,3,79.55,94.21%,5.69%,0.10%,0.32,97.47%
IDBI Bank,2022,3,76.63,94.61%,4.40%,0.98%,0.54,77.56%
Airtel Payments Bank,2022,3,75.44,86.37%,12.26%,1.37%,0.62,72.44%
Bank of Maharashtra,2022,3,68.87,94.09%,5.15%,0.75%,0.4,75.53%
Indian Overseas Bank,2022,3,66.95,93.10%,5.68%,1.21%,0.53,76.53%
YES Bank,2022,3,61.53,93.58%,6.24%,0.18%,0.12,0.00%
India Post Payment Bank,2022,3,59.04,83.22%,16.36%,0.42%,0.37,82.54%
UCO Bank,2022,3,57.85,91.69%,6.22%,2.09%,0.69,49.66%
Karnataka Bank,2022,3,50.49,92.54%,6.60%,0.85%,0.38,47.43%
IndusInd Bank,2022,3,47.0,90.32%,8.27%,1.41%,0.61,78.85%
IDFC First Bank,2022,3,32.19,91.91%,7.09%,1.00%,0.36,46.68%
Karur Vysya Bank,2022,3,31.98,91.45%,7.78%,0.77%,0.25,73.24%
Fino Payments Bank,2022,3,30.13,79.79%,15.01%,5.20%,0.34,78.20%
Bandhan Bank,2022,3,23.4,84.46%,12.18%,3.35%,0.3,11.11%
South Indian Bank,2022,3,22.87,92.48%,7.11%,0.40%,0.11,92.24%
DBS Bank,2022,3,19.26,92.48%,5.50%,2.02%,0.09,91.68%
City Union Bank,2022,3,17.34,87.64%,10.06%,2.29%,0.26,71.46%
Equitas Bank,2022,3,16.44,81.51%,14.78%,3.71%,0.14,66.62%
CITI Bank,2022,3,16.1,93.59%,6.12%,0.29%,0.07,86.47%
Standard Chartered,2022,3,14.26,96.67%,3.01%,0.32%,0.08,92.94%
Ujjivan Small Finance Bank,2022,3,13.88,91.72%,7.34%,0.94%,0.15,47.47%
Andhra Pradesh Grameena Vikas Bank,2022,3,13.18,76.38%,16.48%,7.14%,0.47,4.59%
Tamilnad Mercantile Bank,2022,3,13.05,91.31%,8.07%,0.61%,0.1,44.92%
AU Small Finance Bank,2022,3,12.76,93.51%,6.21%,0.28%,0.09,0.01%
Pragathi Krishna Gramin Bank,2022,3,12.54,85.69%,11.21%,3.09%,0.15,54.31%
Jammu and Kashmir Bank,2022,3,12.45,84.56%,10.46%,4.97%,0.23,34.54%
Punjab and Sind Bank,2022,3,12.35,88.58%,10.90%,0.52%,0.1,76.05%
Maharashtra Gramin Bank,2022,3,12.17,81.97%,17.21%,0.82%,0.1,26.64%
Saraswat Bank,2022,3,11.41,95.75%,3.88%,0.37%,0.07,88.57%
Rajasthan Marudhara Gramin Bank,2022,3,9.68,64.81%,18.30%,16.90%,0.45,5.14%
Andhra Pragathi Grameena Bank,2022,3,8.97,67.16%,25.09%,7.75%,0.44,3.86%
Kerala Gramin Bank,2022,3,8.23,87.74%,11.98%,0.28%,0.04,91.43%
ESAF Small Finance Bank Ltd,2022,3,7.87,86.68%,11.84%,1.48%,0.05,85.74%
RBL,2022,3,7.14,86.44%,13.16%,0.41%,0.04,83.96%
Sarva Haryana Gramin Bank,2022,3,7.0,87.10%,8.03%,4.87%,0.11,37.98%
Baroda Rajasthan Kshetriya Gramin Bank,2022,3,6.78,74.10%,11.12%,14.79%,0.27,10.58%
Karnataka Vikas Grameena Bank,2022,3,6.36,77.67%,16.00%,6.33%,0.25,6.83%
State Bank of India,2023,3,2260.05,92.46%,5.09%,2.45%,15.95,89.61%
HDFC Bank,2023,3,778.92,94.41%,4.74%,0.85%,4.53,93.27%
Bank of Baroda,2023,3,572.31,93.72%,5.89%,0.39%,2.06,96.77%
Union Bank of India,2023,3,538.68,94.84%,4.65%,0.51%,2.6,75.60%
ICICI Bank,2023,3,444.82,96.09%,3.11%,0.80%,2.72,95.14%
Axis Bank,2023,3,413.87,95.79%,4.14%,0.07%,1.29,89.86%
Punjab National Bank,2023,3,409.55,95.11%,4.78%,0.12%,1.75,82.94%
Canara Bank,2023,3,405.45,93.97%,5.81%,0.22%,1.68,93.20%
Paytm Payments Bank,2023,3,404.99,95.76%,4.03%,0.21%,1.22,78.26%
Kotak Mahindra Bank,2023,3,404.38,93.76%,5.35%,0.89%,1.77,65.63%
Bank of India,2023,3,293.39,95.42%,4.06%,0.53%,1.32,76.80%
Indian Bank,2023,3,236.53,92.72%,5.50%,1.78%,1.52,73.10%
Airtel Payments Bank,2023,3,193.35,86.62%,13.09%,0.30%,0.82,93.66%
India Post Payment Bank,2023,3,158.88,75.27%,20.47%,4.26%,1.16,53.49%
Federal Bank,2023,3,142.93,94.60%,5.10%,0.31%,0.51,92.18%
Central Bank of India,2023,3,141.31,90.23%,8.68%,1.09%,1.26,77.95%
Indian Overseas Bank,2023,3,114.43,94.72%,4.75%,0.53%,0.51,94.65%
IDBI Bank,2023,3,111.97,89.17%,3.67%,7.16%,1.44,76.20%
UCO Bank,2023,3,101.76,93.78%,5.72%,0.51%,0.53,80.64%
Bank of Maharashtra,2023,3,100.81,91.86%,4.40%,3.74%,0.58,57.63%
IndusInd Bank,2023,3,83.58,94.08%,5.59%,0.32%,0.37,92.66%
YES Bank,2023,3,78.15,95.31%,4.26%,0.43%,0.2,81.87%
Fino Payments Bank,2023,3,73.73,77.59%,20.33%,2.08%,0.51,61.41%
Karnataka Bank,2023,3,72.22,92.20%,6.53%,1.28%,0.24,78.84%
IDFC First Bank,2023,3,65.54,92.41%,6.39%,1.20%,0.3,67.52%
Karur Vysya Bank,2023,3,45.86,92.75%,6.71%,0.54%,0.18,88.19%
Bandhan Bank,2023,3,37.63,88.08%,8.84%,3.07%,0.42,79.98%
South Indian Bank,2023,3,37.12,94.83%,4.89%,0.28%,0.12,93.61%
City Union Bank,2023,3,27.3,91.35%,7.78%,0.87%,0.11,92.43%
Jammu and Kashmir Bank,2023,3,26.67,89.34%,6.29%,4.37%,0.3,43.89%
Equitas Bank,2023,3,24.63,88.99%,10.43%,0.58%,0.0,85.92%
Ujjivan Small Finance Bank,2023,3,24.53,93.31%,6.33%,0.35%,0.12,75.52%
AU Small Finance Bank,2023,3,24.37,94.50%,5.19%,0.30%,0.11,95.90%
Tamilnad Mercantile Bank,2023,3,22.69,93.16%,6.60%,0.24%,0.07,84.05%
DBS Bank,2023,3,22.51,95.46%,4.06%,0.47%,0.0,88.13%
Punjab and Sind Bank,2023,3,21.53,89.29%,9.82%,0.90%,0.14,82.00%
Standard Chartered,2023,3,20.28,96.72%,2.42%,0.85%,0.09,88.92%
Andhra Pradesh Grameena Vikas Bank,2023,3,18.43,82.74%,11.63%,5.64%,0.12,51.12%
CITI Bank,2023,3,18.42,95.76%,3.42%,0.83%,0.06,97.94%
Maharashtra Gramin Bank,2023,3,17.65,79.68%,15.49%,4.83%,0.14,42.17%
Pragathi Krishna Gramin Bank,2023,3,17.47,86.38%,10.22%,3.40%,0.19,79.06%
Saraswat Bank,2023,3,17.1,96.72%,3.12%,0.16%,0.04,94.48%
Kerala Gramin Bank,2023,3,16.26,89.80%,9.10%,1.11%,0.08,87.82%
Rajasthan Marudhara Gramin Bank,2023,3,15.76,74.89%,19.11%,6.00%,0.11,34.21%
ESAF Small Finance Bank Ltd,2023,3,14.58,84.00%,15.03%,0.97%,0.05,82.29%
RBL,2023,3,11.99,92.44%,6.80%,0.77%,0.0,83.60%
Andhra Pragathi Grameena Bank,2023,3,11.75,77.24%,16.27%,6.48%,0.12,16.47%
Sarva Haryana Gramin Bank,2023,3,11.26,89.92%,7.80%,2.28%,0.13,37.49%
Baroda U.P. Bank,2023,3,10.54,84.29%,13.20%,2.51%,0.12,38.16%
Fincare Small Finance Bank,2023,3,8.59,85.47%,10.75%,3.78%,0.12,36.94%
State Bank of India,2024,3,3557.54,94.99%,4.70%,0.32%,16.59,95.04%
HDFC Bank,2024,3,1158.51,96.13%,3.86%,0.01%,4.26,99.60%
Bank of Baroda,2024,3,882.82,93.30%,6.25%,0.45%,4.4,96.49%
Union Bank of India,2024,3,848.59,93.47%,5.14%,1.40%,6.51,53.92%
Punjab National Bank,2024,3,728.08,94.22%,5.54%,0.23%,3.49,99.11%
Kotak Mahindra Bank,2024,3,703.56,93.66%,6.20%,0.14%,3.28,90.24%
Canara Bank,2024,3,642.81,93.72%,5.91%,0.37%,3.68,81.79%
Axis Bank,2024,3,630.13,96.07%,3.93%,0.01%,2.14,97.72%
ICICI Bank,2024,3,603.62,96.40%,3.52%,0.09%,2.07,95.68%
Bank of India,2024,3,434.19,94.63%,5.03%,0.34%,2.23,84.44%
Indian Bank,2024,3,400.98,94.39%,5.40%,0.21%,2.44,75.20%
Airtel Payments Bank,2024,3,387.91,91.25%,8.63%,0.12%,2.14,95.89%
India Post Payment Bank,2024,3,312.23,80.17%,13.85%,5.98%,3.15,46.99%
Federal Bank,2024,3,204.83,94.79%,5.01%,0.20%,0.76,98.04%
Central Bank of India,2024,3,200.37,85.98%,10.69%,3.33%,2.61,51.15%
Indian Overseas Bank,2024,3,188.01,92.66%,4.92%,2.42%,1.21,91.57%
UCO Bank,2024,3,171.87,93.19%,5.90%,0.91%,1.34,57.58%
Bank of Maharashtra,2024,3,153.39,89.77%,5.41%,4.83%,1.43,59.23%
IDBI Bank,2024,3,151.7,93.27%,5.26%,1.47%,0.99,70.17%
IndusInd Bank,2024,3,142.64,92.76%,6.76%,0.47%,0.91,92.70%
Fino Payments Bank,2024,3,136.77,88.98%,9.53%,1.48%,0.92,70.73%
Karnataka Bank,2024,3,106.23,92.83%,6.07%,1.10%,0.61,71.09%
YES Bank,2024,3,103.43,94.43%,5.40%,0.17%,0.35,95.02%
Paytm Payments Bank,2024,3,98.18,89.73%,10.25%,0.03%,0.35,96.43%
IDFC First Bank,2024,3,83.3,92.99%,6.72%,0.28%,0.39,82.51%
Karur Vysya Bank,2024,3,67.68,91.62%,5.87%,2.51%,0.45,79.24%
Bandhan Bank,2024,3,54.03,93.13%,5.90%,0.97%,0.3,98.34%
South Indian Bank,2024,3,53.06,95.66%,4.30%,0.04%,0.15,96.38%
Jammu and Kashmir Bank,2024,3,52.39,94.19%,5.01%,0.80%,0.4,58.67%
AU Small Finance Bank,2024,3,45.2,93.76%,5.01%,1.23%,0.35,91.10%
Tri O Tech Solutions Private Limited,2024,3,43.69,100.00%,0.00%,0.00%,0.0,0.00%
Ujjivan Small Finance Bank,2024,3,42.64,94.16%,5.62%,0.22%,0.21,95.46%
City Union Bank,2024,3,40.7,92.12%,7.57%,0.31%,0.14,99.51%
Punjab and Sind Bank,2024,3,36.91,88.97%,6.85%,4.18%,0.65,41.18%
Tamilnad Mercantile Bank,2024,3,36.68,91.40%,6.86%,1.75%,0.23,52.03%
Equitas Bank,2024,3,32.26,92.46%,7.26%,0.28%,0.17,96.21%
Andhra Pradesh Grameena Vikas Bank,2024,3,28.83,84.18%,12.67%,3.15%,0.3,56.53%
Kerala Gramin Bank,2024,3,27.13,92.84%,6.20%,0.96%,0.15,52%
DBS Bank,2024,3,26.67,94.70%,5.04%,0.26%,0.11,81.96%
Pragathi Krishna Gramin Bank,2024,3,26.2,89.82%,8.08%,2.10%,0.3,49.95%
Maharashtra Gramin Bank,2024,3,25.45,87.57%,11.61%,0.83%,0.09,94%
Standard Chartered,2024,3,25.13,97.12%,2.69%,0.19%,0.09,94.80%
Rajasthan Marudhara Gramin Bank,2024,3,24.86,83.35%,11.87%,4.78%,0.29,41.00%
Saraswat Bank,2024,3,23.28,95.74%,3.94%,0.32%,0.1,82%
Baroda U.P. Bank,2024,3,22.31,74.22%,10.56%,15.22%,1.02,15%
ESAF Small Finance Bank Ltd,2024,3,21.76,93.86%,5.08%,1.06%,0.13,73.09%
Fincare Small Finance Bank,2024,3,21.32,85.10%,14.43%,0.47%,0.12,94.35%
CITI Bank,2024,3,20.78,96.61%,3.06%,0.32%,0.09,98.88%
Sarva Haryana Gramin Bank,2024,3,17.71,92.50%,7.00%,0.50%,0.11,82.22%
Andhra Pragathi Grameena Bank,2024,3,17.33,84.52%,13.38%,2.10%,0.14,53.68%
State Bank of India,2022,5,1644.91,90.26%,7.31%,2.44%,6.99,92.47%
HDFC Bank,2022,5,532.02,94.20%,5.64%,0.16%,2.02,99.46%
Bank of Baroda,2022,5,387.88,92.71%,6.70%,0.59%,2.42,89.41%
Union Bank of India,2022,5,370.84,91.52%,8.15%,0.34%,1.82,76.68%
ICICI Bank,2022,5,342.09,94.87%,4.86%,0.27%,1.27,93.47%
Paytm Payments Bank,2022,5,323.77,95.66%,4.32%,0.02%,0.87,99.47%
Axis Bank,2022,5,316.26,95.52%,4.31%,0.17%,1.15,84.06%
Punjab National Bank,2022,5,277.91,93.01%,6.30%,0.69%,1.58,91.79%
Canara Bank,2022,5,266.56,88.78%,8.43%,2.80%,2.72,82.93%
Kotak Mahindra Bank,2022,5,247.84,92.40%,5.56%,2.03%,2.45,93.51%
Bank of India,2022,5,215.62,94.52%,5.25%,0.23%,0.92,89.37%
Indian Bank,2022,5,150.62,92.45%,6.76%,0.79%,0.84,77.52%
Central Bank of India,2022,5,115.32,91.43%,5.97%,2.60%,1.62,56.85%
Federal Bank,2022,5,93.99,93.29%,6.05%,0.66%,0.44,90.03%
Airtel Payments Bank,2022,5,87.23,85.92%,12.33%,1.75%,0.67,79.05%
IDBI Bank,2022,5,83.34,94.58%,4.95%,0.47%,0.37,92.21%
India Post Payment Bank,2022,5,78.09,76.77%,21.86%,1.36%,0.47,71.11%
Indian Overseas Bank,2022,5,76.31,93.81%,5.94%,0.25%,0.3,99.06%
Bank of Maharashtra,2022,5,75.56,93.87%,5.53%,0.60%,0.33,92.23%
YES Bank,2022,5,68.85,92.20%,7.42%,0.38%,0.09,0.00%
UCO Bank,2022,5,66.2,92.44%,6.39%,1.17%,0.48,66.56%
Karnataka Bank,2022,5,55.32,86.83%,7.32%,5.85%,0.82,20.35%
IndusInd Bank,2022,5,52.03,91.19%,7.86%,0.95%,0.32,76.78%
IDFC First Bank,2022,5,37.03,91.50%,6.28%,2.22%,0.33,36.64%
Karur Vysya Bank,2022,5,35.28,91.70%,7.90%,0.40%,0.13,89.39%
Fino Payments Bank,2022,5,34.39,84.30%,12.85%,2.85%,0.38,61.58%
Bandhan Bank,2022,5,26.8,80.41%,16.72%,2.87%,0.16,60.61%
South Indian Bank,2022,5,24.34,91.97%,5.47%,2.56%,0.18,91.10%
Equitas Bank,2022,5,18.85,83.81%,15.22%,0.97%,0.11,78.92%
City Union Bank,2022,5,18.71,90.94%,8.13%,0.93%,0.08,92.19%
CITI Bank,2022,5,17.12,94.76%,4.54%,0.70%,0.04,99.80%
DBS Bank,2022,5,16.12,95.24%,4.65%,0.11%,0.05,95.20%
Ujjivan Small Finance Bank,2022,5,15.98,86.86%,7.48%,5.66%,0.25,33.14%
Standard Chartered,2022,5,15.74,96.48%,3.08%,0.44%,0.08,97.76%
Jammu and Kashmir Bank,2022,5,15.3,86.08%,9.57%,4.35%,0.17,57.38%
Tamilnad Mercantile Bank,2022,5,14.92,90.69%,7.99%,1.32%,0.1,31.10%
Andhra Pradesh Grameena Vikas Bank,2022,5,14.75,72.60%,16.91%,10.49%,0.44,0.00%
AU Small Finance Bank,2022,5,14.66,92.79%,6.48%,0.73%,0.1,0.04%
Punjab and Sind Bank,2022,5,14.58,88.87%,10.77%,0.36%,0.08,86.89%
Pragathi Krishna Gramin Bank,2022,5,14.32,82.03%,11.60%,6.37%,0.26,45.20%
Maharashtra Gramin Bank,2022,5,13.74,76.12%,18.64%,5.23%,0.11,20.17%
Saraswat Bank,2022,5,12.28,94.59%,4.12%,1.30%,0.06,67.34%
Rajasthan Marudhara Gramin Bank,2022,5,9.25,75.96%,14.11%,9.93%,0.27,0.00%
ESAF Small Finance Bank Ltd,2022,5,9.11,81.98%,17.02%,1.00%,0.03,82.07%
Andhra Pragathi Grameena Bank,2022,5,9.05,71.42%,19.62%,8.96%,0.29,6.14%
Kerala Gramin Bank,2022,5,8.98,84.87%,11.83%,3.29%,0.1,58.80%
Sarva Haryana Gramin Bank,2022,5,8.05,85.34%,8.17%,6.49%,0.09,17.33%
RBL,2022,5,7.34,89.18%,8.29%,2.53%,0.04,76.76%
Baroda Rajasthan Kshetriya Gramin Bank,2022,5,7.2,75.01%,7.83%,17.16%,0.26,18.46%
Karnataka Vikas Grameena Bank,2022,5,6.45,81.76%,15.27%,2.97%,0.1,12.70%
State Bank of India,2023,5,2427.45,95.07%,4.50%,0.43%,8.41,96.08%
HDFC Bank,2023,5,834.13,96.07%,3.75%,0.18%,2.75,97.68%
Bank of Baroda,2023,5,615.53,93.91%,5.52%,0.58%,2.08,93.52%
Union Bank of India,2023,5,587.3,95.23%,4.27%,0.50%,2.06,72.49%
ICICI Bank,2023,5,471.2,96.05%,3.03%,0.92%,2.23,89.78%
Punjab National Bank,2023,5,455.13,94.58%,4.73%,0.69%,1.87,89.28%
Kotak Mahindra Bank,2023,5,445.82,93.33%,4.94%,1.72%,1.07,83.34%
Canara Bank,2023,5,433.19,93.94%,5.18%,0.87%,1.72,79.21%
Axis Bank,2023,5,427.56,95.98%,4.01%,0.02%,1.01,97.95%
Paytm Payments Bank,2023,5,425.23,96.31%,3.67%,0.02%,0.66,96.72%
Bank of India,2023,5,308.34,95.33%,4.15%,0.52%,0.91,84.80%
Indian Bank,2023,5,257.31,94.56%,4.74%,0.70%,0.79,89.91%
Airtel Payments Bank,2023,5,210.36,87.00%,11.94%,1.06%,0.64,63.63%
India Post Payment Bank,2023,5,167.39,80.61%,15.66%,3.73%,0.63,68.11%
Central Bank of India,2023,5,150.03,90.06%,8.41%,1.53%,1.22,80.86%
Federal Bank,2023,5,149.25,95.22%,4.71%,0.08%,0.37,97.23%
Indian Overseas Bank,2023,5,121.85,94.43%,5.18%,0.39%,0.44,95.94%
IDBI Bank,2023,5,114.16,95.20%,3.90%,0.90%,0.47,84.51%
UCO Bank,2023,5,112.87,93.87%,5.29%,0.84%,0.41,66.09%
Bank of Maharashtra,2023,5,104.95,92.49%,5.04%,2.47%,0.36,50.66%
YES Bank,2023,5,94.89,96.33%,3.56%,0.11%,0.15,96.13%
IndusInd Bank,2023,5,91.3,93.76%,5.70%,0.54%,0.29,91.48%
Fino Payments Bank,2023,5,81.88,82.85%,14.95%,2.21%,0.25,82.81%
Karnataka Bank,2023,5,74.77,91.31%,6.20%,2.50%,0.2,80.02%
IDFC First Bank,2023,5,62.61,93.74%,5.39%,0.87%,0.18,62.55%
Karur Vysya Bank,2023,5,47.89,92.00%,7.39%,0.61%,0.12,86.59%
Bandhan Bank,2023,5,41.45,85.45%,11.64%,2.91%,0.26,55.71%
South Indian Bank,2023,5,38.15,96.02%,3.92%,0.06%,0.08,96.85%
Jammu and Kashmir Bank,2023,5,31.55,90.22%,6.87%,2.90%,0.15,52.76%
City Union Bank,2023,5,27.91,92.84%,6.47%,0.69%,0.09,90.82%
AU Small Finance Bank,2023,5,26.71,94.11%,4.78%,1.11%,0.17,94.02%
Ujjivan Small Finance Bank,2023,5,26.7,93.39%,5.96%,0.65%,0.08,64.57%
Equitas Bank,2023,5,25.3,90.37%,9.35%,0.28%,0.07,96.62%
Tamilnad Mercantile Bank,2023,5,23.92,93.46%,6.03%,0.51%,0.06,89.98%
Punjab and Sind Bank,2023,5,23.51,84.29%,8.50%,7.21%,0.13,27.01%
DBS Bank,2023,5,22.9,95.55%,4.03%,0.42%,0.05,72.77%
Standard Chartered,2023,5,20.89,96.56%,2.46%,0.98%,0.07,83.45%
Andhra Pradesh Grameena Vikas Bank,2023,5,19.66,81.99%,12.19%,5.82%,0.13,63.39%
CITI Bank,2023,5,18.79,96.24%,3.33%,0.44%,0.06,97.76%
Maharashtra Gramin Bank,2023,5,18.29,79.80%,11.39%,8.80%,0.05,28.67%
Saraswat Bank,2023,5,17.68,95.93%,3.03%,1.04%,0.04,42.17%
Pragathi Krishna Gramin Bank,2023,5,17.5,89.78%,9.71%,0.51%,0.06,95.23%
Kerala Gramin Bank,2023,5,17.19,90.83%,8.56%,0.61%,0.07,94.55%
ESAF Small Finance Bank Ltd,2023,5,16.84,74.48%,24.33%,1.19%,0.04,70.94%
Rajasthan Marudhara Gramin Bank,2023,5,15.87,76.51%,15.43%,8.06%,0.04,32.11%
Sarva Haryana Gramin Bank,2023,5,12.82,87.28%,7.17%,5.55%,0.04,26.62%
Baroda U.P. Bank,2023,5,12.32,78.88%,9.72%,11.40%,0.05,19.50%
RBL,2023,5,12.1,92.31%,6.69%,0.99%,0.04,77.09%
Andhra Pragathi Grameena Bank,2023,5,10.26,73.67%,16.48%,9.86%,0.02,17.82%
Fincare Small Finance Bank,2023,5,9.89,85.75%,10.77%,3.48%,0.04,40.65%
State Bank of India,2024,5,3758.35,94.80%,5.01%,0.20%,13.29,98.55%
HDFC Bank,2024,5,1211.41,95.75%,4.19%,0.06%,3.69,98.50%
Bank of Baroda,2024,5,930.35,92.49%,6.56%,0.95%,4.5,84.38%
Union Bank of India,2024,5,876.18,94.38%,5.38%,0.24%,3.38,78.77%
Punjab National Bank,2024,5,785.36,93.64%,6.05%,0.31%,3.19,87.42%
Kotak Mahindra Bank,2024,5,746.83,92.83%,6.78%,0.39%,3.56,63.74%
Canara Bank,2024,5,670.33,92.87%,6.15%,0.98%,5.16,72.09%
ICICI Bank,2024,5,627.63,96.33%,3.62%,0.05%,1.65,95.22%
Axis Bank,2024,5,627.47,95.60%,4.39%,0.02%,1.77,95.16%
Bank of India,2024,5,454.54,93.16%,5.16%,1.68%,2.77,61.76%
Indian Bank,2024,5,427.45,94.11%,5.65%,0.24%,1.53,83.49%
Airtel Payments Bank,2024,5,413.75,91.27%,8.20%,0.52%,1.75,96.34%
India Post Payment Bank,2024,5,317.28,86.84%,12.47%,0.70%,1.34,82.16%
Federal Bank,2024,5,212.71,94.09%,5.44%,0.47%,0.75,89.02%
Central Bank of India,2024,5,206.31,87.26%,11.16%,1.57%,1.59,69.46%
Indian Overseas Bank,2024,5,197.96,94.32%,5.24%,0.44%,0.75,88.54%
UCO Bank,2024,5,184.22,93.72%,6.16%,0.11%,0.72,87.45%
IDBI Bank,2024,5,159.28,94.40%,5.46%,0.14%,0.55,90.23%
Bank of Maharashtra,2024,5,152.68,92.45%,5.48%,2.06%,1.14,57.34%
IndusInd Bank,2024,5,150.37,92.32%,7.38%,0.31%,0.96,97.88%
Fino Payments Bank,2024,5,140.12,92.59%,7.19%,0.22%,0.66,75.30%
YES Bank,2024,5,121.13,94.05%,5.90%,0.05%,0.3,89.05%
Karnataka Bank,2024,5,110.31,93.24%,6.47%,0.29%,0.41,84.19%
IDFC First Bank,2024,5,87.12,92.89%,7.06%,0.04%,0.27,93.96%
Karur Vysya Bank,2024,5,68.36,93.97%,5.85%,0.18%,0.21,93.36%
Jammu and Kashmir Bank,2024,5,66.17,93.91%,4.48%,1.60%,0.64,32.81%
Bandhan Bank,2024,5,59.24,91.70%,6.70%,1.60%,0.27,96.55%
South Indian Bank,2024,5,54.78,95.49%,4.41%,0.10%,0.14,90.82%
Tri O Tech Solutions Private Limited,2024,5,50.1,100.00%,0.00%,0.00%,0.0,0.00%
AU Small Finance Bank,2024,5,47.67,93.42%,5.75%,0.83%,0.25,76.77%
